SalesOrderID,OrderDate,OnlineOrderFlag,CustomerID,SalesPersonID,TerritoryID,SubTotal,TaxAmt,Freight,TotalDue,PersonID,AccountNumber,PersonType,FirstName,LastName,Territory,Country
43659,2011-05-31,False,29825,279.0,5,20565.6206,1971.5149,616.0984,23153.2339,1045.0,AW00029825,SC,James,Hendergart,Southeast,US
43660,2011-05-31,False,29672,279.0,5,1294.2529,124.2483,38.8276,1457.3288,721.0,AW00029672,SC,Takiko,Collins,Southeast,US
43661,2011-05-31,False,29734,282.0,6,32726.4786,3153.7696,985.553,36865.8012,851.0,AW00029734,SC,Jauna,Elson,Canada,CA
43662,2011-05-31,False,29994,282.0,6,28832.5289,2775.1646,867.2389,32474.9324,1417.0,AW00029994,SC,Robin,McGuigan,Canada,CA
43663,2011-05-31,False,29565,276.0,4,419.4589,40.2681,12.5838,472.3108,483.0,AW00029565,SC,Jimmy,Bischoff,Southwest,US
43664,2011-05-31,False,29898,280.0,1,24432.6088,2344.9921,732.81,27510.4109,1205.0,AW00029898,SC,Sandeep,Katyal,Northwest,US
43665,2011-05-31,False,29580,283.0,1,14352.7713,1375.9427,429.9821,16158.6961,517.0,AW00029580,SC,Richard,Bready,Northwest,US
43666,2011-05-31,False,30052,276.0,4,5056.4896,486.3747,151.9921,5694.8564,1849.0,AW00030052,SC,Abraham,Swearengin,Southwest,US
43667,2011-05-31,False,29974,277.0,3,6107.081999999999,586.1203,183.1626,6876.3649,1373.0,AW00029974,SC,Scott,MacDonald,Central,US
43668,2011-05-31,False,29614,282.0,6,35944.1562,3461.7654,1081.8017,40487.7233,591.0,AW00029614,SC,Ryan,Calafato,Canada,CA
43669,2011-05-31,False,29747,283.0,1,714.7043,70.5175,22.0367,807.2585,879.0,AW00029747,SC,Carolyn,Farino,Northwest,US
43670,2011-05-31,False,29566,275.0,3,6122.081999999999,587.5603,183.6126,6893.2549,487.0,AW00029566,SC,Mae,Black,Central,US
43671,2011-05-31,False,29890,283.0,1,8128.7876,780.8136,244.0042,9153.6054,1185.0,AW00029890,SC,Peggy,Justice,Northwest,US
43672,2011-05-31,False,30067,282.0,6,6124.182,587.6023,183.6257,6895.41,1881.0,AW00030067,SC,Phyllis,Thomas,Canada,CA
43673,2011-05-31,False,29844,275.0,2,3746.2015,357.9614,111.8629,4216.0258,1085.0,AW00029844,SC,Nancy,Hirota,Northeast,US
43674,2011-05-31,False,29596,282.0,6,2624.382,251.9407,78.7315,2955.0542,551.0,AW00029596,SC,Eric,Brumfield,Canada,CA
43675,2011-05-31,False,29827,277.0,3,5716.3102,546.8759,170.8987,6434.0848,1049.0,AW00029827,SC,Valerie,Hendricks,Central,US
43676,2011-05-31,False,29811,275.0,5,14203.458,1363.266,426.0206,15992.7446,1017.0,AW00029811,SC,Mark,Hanson,Southeast,US
43677,2011-05-31,False,29824,278.0,6,7793.1108,747.1011,233.4691,8773.681,1043.0,AW00029824,SC,Brenda,Heaney,Canada,CA
43678,2011-05-31,False,29889,281.0,4,9799.9243,942.074,294.3981,11036.3964,1183.0,AW00029889,SC,Jean,Jordan,Southwest,US
43679,2011-05-31,False,29761,278.0,6,1316.0575,125.8032,39.3135,1481.1742,907.0,AW00029761,SC,Susan,French,Canada,CA
43680,2011-05-31,False,29489,281.0,4,11397.4992,1093.6394,341.7623,12832.9009,301.0,AW00029489,SC,Frances,Adams,Southwest,US
43681,2011-05-31,False,29661,279.0,5,13787.5434,1323.0668,413.4584,15524.0686,697.0,AW00029661,SC,Charles,Christensen,Southeast,US
43682,2011-05-31,False,29759,275.0,2,3875.7229,371.8002,116.1876,4363.7107,903.0,AW00029759,SC,Judith,Frazier,Northeast,US
43683,2011-05-31,False,29497,283.0,1,42813.4333,4107.1489,1283.484,48204.0662,317.0,AW00029497,SC,François,Ferrier,Northwest,US
43684,2011-05-31,False,29912,279.0,5,5596.4705,537.2612,167.8941,6301.6258,1239.0,AW00029912,SC,Russell,King,Southeast,US
43685,2011-05-31,False,30084,279.0,5,2736.5678,263.20099999999996,82.2503,3082.0191,1917.0,AW00030084,SC,Abe,Tramel,Southeast,US
43686,2011-05-31,False,29606,283.0,1,3463.2998,332.4768,103.899,3899.6756,573.0,AW00029606,SC,Karren,Burkhardt,Northwest,US
43687,2011-05-31,False,29610,275.0,2,1258.3767,120.8042,37.7513,1416.9322,583.0,AW00029610,SC,Deanna,Buskirk,Northeast,US
43688,2011-05-31,False,29718,275.0,2,12718.0844,1222.8838,382.1512,14323.1194,819.0,AW00029718,SC,John,Donovan,Northeast,US
43689,2011-05-31,False,29646,277.0,4,33997.3702,3271.4942,1022.3419,38291.2063,661.0,AW00029646,SC,Stacey,Cereghino,Southwest,US
43690,2011-05-31,False,29533,275.0,3,1297.5901,124.2027,38.8133,1460.6061,391.0,AW00029533,SC,Douglas,Baldwin,Central,US
43691,2011-05-31,False,29570,277.0,4,874.794,83.9802,26.2438,985.018,495.0,AW00029570,SC,Michael,Blythe,Southwest,US
43692,2011-05-31,False,29992,281.0,4,38510.8973,3696.3979,1155.1244,43362.4196,1413.0,AW00029992,SC,Sandra,Maynard,Southwest,US
43693,2011-05-31,False,29491,275.0,5,20541.4072,1969.5564,615.4864,23126.45,305.0,AW00029491,SC,Carla,Adams,Southeast,US
43694,2011-05-31,False,29549,279.0,5,20645.634,1978.3257,618.2268,23242.1865,439.0,AW00029549,SC,Shane,Belli,Southeast,US
43695,2011-05-31,False,29958,279.0,5,39373.781,3787.4632,1183.5823,44344.8265,1337.0,AW00029958,SC,Run,Liu,Southeast,US
43696,2011-05-31,False,29849,279.0,5,419.4589,40.2681,12.5838,472.3108,1095.0,AW00029849,SC,Barbara,Hoffman,Southeast,US
43697,2011-05-31,True,21768,,6,3578.27,286.2616,89.4568,3953.9884,14078.0,AW00021768,IN,Cole,Watson,Canada,CA
43698,2011-05-31,True,28389,,7,3399.99,271.9992,84.9998,3756.989,15519.0,AW00028389,IN,Rachael,Martinez,France,FR
43699,2011-05-31,True,25863,,1,3399.99,271.9992,84.9998,3756.989,10553.0,AW00025863,IN,Sydney,Wright,Northwest,US
43700,2011-05-31,True,14501,,4,699.0982,55.9279,17.4775,772.5036,11211.0,AW00014501,IN,Ruben,Prasad,Southwest,US
43701,2011-05-31,True,11003,,9,3399.99,271.9992,84.9998,3756.989,11358.0,AW00011003,IN,Christy,Zhu,Australia,AU
43702,2011-06-01,True,27645,,4,3578.27,286.2616,89.4568,3953.9884,13514.0,AW00027645,IN,Colin,Anand,Southwest,US
