SalesOrderID,OrderDate,OnlineOrderFlag,SubTotal,TaxAmt,Freight,TotalDue,AccountNumber,CustType,CustName,SalesPersonName,Territory,Country
43659,2011-05-31,False,20565.6206,1971.5149,616.0984,23153.2339,AW00029825,SC,James Hendergart,Tsvi Reiter,Southeast,US
43660,2011-05-31,False,1294.2529,124.2483,38.8276,1457.3288,AW00029672,SC,Takiko Collins,Tsvi Reiter,Southeast,US
43661,2011-05-31,False,32726.4786,3153.7696,985.553,36865.8012,AW00029734,SC,Jauna Elson,José Saraiva,Canada,CA
43662,2011-05-31,False,28832.5289,2775.1646,867.2389,32474.9324,AW00029994,SC,Robin McGuigan,José Saraiva,Canada,CA
43663,2011-05-31,False,419.4589,40.2681,12.5838,472.3108,AW00029565,SC,Jimmy Bischoff,Linda Mitchell,Southwest,US
43664,2011-05-31,False,24432.6088,2344.9921,732.81,27510.4109,AW00029898,SC,Sandeep Katyal,Pamela Ansman-Wolfe,Northwest,US
43665,2011-05-31,False,14352.7713,1375.9427,429.9821,16158.6961,AW00029580,SC,Richard Bready,David Campbell,Northwest,US
43666,2011-05-31,False,5056.4896,486.3747,151.9921,5694.8564,AW00030052,SC,Abraham Swearengin,Linda Mitchell,Southwest,US
43667,2011-05-31,False,6107.081999999999,586.1203,183.1626,6876.3649,AW00029974,SC,Scott MacDonald,Jillian Carson,Central,US
43668,2011-05-31,False,35944.1562,3461.7654,1081.8017,40487.7233,AW00029614,SC,Ryan Calafato,José Saraiva,Canada,CA
43669,2011-05-31,False,714.7043,70.5175,22.0367,807.2585,AW00029747,SC,Carolyn Farino,David Campbell,Northwest,US
43670,2011-05-31,False,6122.081999999999,587.5603,183.6126,6893.2549,AW00029566,SC,Mae Black,Michael Blythe,Central,US
43671,2011-05-31,False,8128.7876,780.8136,244.0042,9153.6054,AW00029890,SC,Peggy Justice,David Campbell,Northwest,US
43672,2011-05-31,False,6124.182,587.6023,183.6257,6895.41,AW00030067,SC,Phyllis Thomas,José Saraiva,Canada,CA
43673,2011-05-31,False,3746.2015,357.9614,111.8629,4216.0258,AW00029844,SC,Nancy Hirota,Michael Blythe,Northeast,US
43674,2011-05-31,False,2624.382,251.9407,78.7315,2955.0542,AW00029596,SC,Eric Brumfield,José Saraiva,Canada,CA
43675,2011-05-31,False,5716.3102,546.8759,170.8987,6434.0848,AW00029827,SC,Valerie Hendricks,Jillian Carson,Central,US
